"epiweek2","n","sum_genomes","Date","pcr_type","loglevels","tested","year","week","Country","end"
"2021w42",1269,36.65,"w","Real-Time",1.56407397897715,-0.3,2021,42,"South African SARS-CoV-2 Wastewater Levels",2021-10-23
"2021w43",770,82.7,"w","Real-Time",1.91750550955255,-0.3,2021,43,"South African SARS-CoV-2 Wastewater Levels",2021-10-30
"2021w44",720,85.69,"w","Real-Time",1.93293014283079,-0.3,2021,44,"South African SARS-CoV-2 Wastewater Levels",2021-11-06
"2021w45",845,161.07,"w","Real-Time",2.2070146586829,-0.3,2021,45,"South African SARS-CoV-2 Wastewater Levels",2021-11-13
"2021w46",1869,572.27,"w","Real-Time",2.75760097956913,-0.3,2021,46,"South African SARS-CoV-2 Wastewater Levels",2021-11-20
"2021w47",6370,1385.39,"w","Real-Time",3.14157204849463,-0.3,2021,47,"South African SARS-CoV-2 Wastewater Levels",2021-11-27
"2021w48",20533,2123.38,"w","Real-Time",3.32702772244447,-0.3,2021,48,"South African SARS-CoV-2 Wastewater Levels",2021-12-04
"2021w49",36111,3420.72,"w","Real-Time",3.53411752685047,-0.3,2021,49,"South African SARS-CoV-2 Wastewater Levels",2021-12-11
"2021w50",33408,3292.21,"w","Real-Time",3.51748752973962,-0.3,2021,50,"South African SARS-CoV-2 Wastewater Levels",2021-12-18
"2021w51",23944,1137.9,"w","Real-Time",3.05610409742245,-0.3,2021,51,"South African SARS-CoV-2 Wastewater Levels",2021-12-25
"2021w52",13014,NA,"w","Real-Time",NA,NA,2021,52,"South African SARS-CoV-2 Wastewater Levels",2022-01-01
"2021w53",6744,NA,"w","Real-Time",NA,NA,2021,53,"South African SARS-CoV-2 Wastewater Levels",NA
"2022w1",12151,220.52,"w","Real-Time",2.34344798380723,-0.3,2022,1,"South African SARS-CoV-2 Wastewater Levels",2022-01-08
"2022w2",9154,277.75,"w","Real-Time",2.44365406761291,-0.3,2022,2,"South African SARS-CoV-2 Wastewater Levels",2022-01-15
"2022w3",7727,223.14,"w","Real-Time",2.34857742874262,-0.3,2022,3,"South African SARS-CoV-2 Wastewater Levels",2022-01-22
"2022w4",6714,276.49,"w","Real-Time",2.44167942850381,-0.3,2022,4,"South African SARS-CoV-2 Wastewater Levels",2022-01-29
"2022w5",5711,48.37,"w","Real-Time",1.68457608738846,-0.3,2022,5,"South African SARS-CoV-2 Wastewater Levels",2022-02-05
"2022w6",6156,133.31,"w","Real-Time",2.12486272842306,-0.3,2022,6,"South African SARS-CoV-2 Wastewater Levels",2022-02-12
"2022w7",5355,99.74,"w","Real-Time",1.99886936388234,-0.3,2022,7,"South African SARS-CoV-2 Wastewater Levels",2022-02-19
"2022w8",5985,73.04,"w","Real-Time",1.86356076452624,-0.3,2022,8,"South African SARS-CoV-2 Wastewater Levels",2022-02-26
"2022w9",4561,108.41,"w","Real-Time",2.0350693444211,-0.3,2022,9,"South African SARS-CoV-2 Wastewater Levels",2022-03-05
"2022w10",2867,109.41,"w","Real-Time",2.03905701803344,-0.3,2022,10,"South African SARS-CoV-2 Wastewater Levels",2022-03-12
"2022w11",3332,263.41,"w","Real-Time",2.42063225833412,-0.3,2022,11,"South African SARS-CoV-2 Wastewater Levels",2022-03-19
"2022w12",2383,92.82,"w","Real-Time",1.96764156408301,-0.3,2022,12,"South African SARS-CoV-2 Wastewater Levels",2022-03-26
"2022w13",2819,155.72,"w","Real-Time",2.19234439504612,-0.3,2022,13,"South African SARS-CoV-2 Wastewater Levels",2022-04-02
"2022w14",2970,1171.9,"w","Real-Time",3.06889055425794,-0.3,2022,14,"South African SARS-CoV-2 Wastewater Levels",2022-04-09
"2022w15",2480,170.82,"w","Real-Time",2.2325387175306,-0.3,2022,15,"South African SARS-CoV-2 Wastewater Levels",2022-04-16
"2022w16",3994,1287.97,"w","Real-Time",3.10990574735128,-0.3,2022,16,"South African SARS-CoV-2 Wastewater Levels",2022-04-23
"2022w17",6419,1322.32,"w","Real-Time",3.12133656666025,-0.3,2022,17,"South African SARS-CoV-2 Wastewater Levels",2022-04-30
"2022w18",6490,1039.29,"w","Real-Time",3.01673674854508,-0.3,2022,18,"South African SARS-CoV-2 Wastewater Levels",2022-05-07
"2022w19",10300,1304.24,"w","Real-Time",3.11535751554088,-0.3,2022,19,"South African SARS-CoV-2 Wastewater Levels",2022-05-14
"2022w20",7604,562.93,"w","Real-Time",2.75045439395649,-0.3,2022,20,"South African SARS-CoV-2 Wastewater Levels",2022-05-21
"2022w21",5306,21.55,"w","Real-Time",1.33344727449675,-0.3,2022,21,"South African SARS-CoV-2 Wastewater Levels",2022-05-28
"2022w22",3237,56.87,"w","Real-Time",1.75488322825217,-0.3,2022,22,"South African SARS-CoV-2 Wastewater Levels",2022-06-04
"2022w23",2643,57.16,"w","Real-Time",1.75709222011893,-0.3,2022,23,"South African SARS-CoV-2 Wastewater Levels",2022-06-11
"2022w24",1613,19.44,"w","Real-Time",1.28869626059026,-0.3,2022,24,"South African SARS-CoV-2 Wastewater Levels",2022-06-18
"2022w25",1459,40.24,"w","Real-Time",1.60465797204787,-0.3,2022,25,"South African SARS-CoV-2 Wastewater Levels",2022-06-25
"2022w26",869,34.41,"w","Real-Time",1.53668467262093,-0.3,2022,26,"South African SARS-CoV-2 Wastewater Levels",2022-07-02
"2022w27",842,184.72,"w","Real-Time",2.26651391990912,-0.3,2022,27,"South African SARS-CoV-2 Wastewater Levels",2022-07-09
"2022w28",900,68.38,"w","Real-Time",1.83492909646058,-0.3,2022,28,"South African SARS-CoV-2 Wastewater Levels",2022-07-16
"2022w29",729,226.78,"w","Real-Time",2.3556047509588,-0.3,2022,29,"South African SARS-CoV-2 Wastewater Levels",2022-07-23
"2022w30",601,33.79,"w","Real-Time",1.5287881917749,-0.3,2022,30,"South African SARS-CoV-2 Wastewater Levels",2022-07-30
"2022w31",545,54.13,"w","Real-Time",1.73343802709106,-0.3,2022,31,"South African SARS-CoV-2 Wastewater Levels",2022-08-06
"2022w32",527,279.83,"w","Real-Time",2.44689427247187,-0.3,2022,32,"South African SARS-CoV-2 Wastewater Levels",2022-08-13
"2022w33",484,1302.48,"w","Real-Time",3.11477106329108,-0.3,2022,33,"South African SARS-CoV-2 Wastewater Levels",2022-08-20
"2022w34",579,602.51,"w","Real-Time",2.77996425939426,-0.3,2022,34,"South African SARS-CoV-2 Wastewater Levels",2022-08-27
"2022w35",530,677.52,"w","Real-Time",2.83092211985853,-0.3,2022,35,"South African SARS-CoV-2 Wastewater Levels",2022-09-03
"2022w36",614,666.96,"w","Real-Time",2.82409978848898,-0.3,2022,36,"South African SARS-CoV-2 Wastewater Levels",2022-09-10
"2022w37",639,467.36,"w","Real-Time",2.66965153962947,-0.3,2022,37,"South African SARS-CoV-2 Wastewater Levels",2022-09-17
"2022w38",383,835.99,"w","Real-Time",2.92220108249788,-0.3,2022,38,"South African SARS-CoV-2 Wastewater Levels",2022-09-24
"2022w39",447,234.9,"w","Real-Time",2.37088301677761,-0.3,2022,39,"South African SARS-CoV-2 Wastewater Levels",2022-10-01
"2022w40",638,241.95,"w","Real-Time",2.38372562644464,-0.3,2022,40,"South African SARS-CoV-2 Wastewater Levels",2022-10-08
"2022w41",767,564.78,"w","Real-Time",2.75187930907167,-0.3,2022,41,"South African SARS-CoV-2 Wastewater Levels",2022-10-15
"2022w42",519,487.19,"w","Real-Time",2.68769836544298,-0.3,2022,42,"South African SARS-CoV-2 Wastewater Levels",2022-10-22
"2022w43",341,423.6,"w","Real-Time",2.62695595143545,-0.3,2022,43,"South African SARS-CoV-2 Wastewater Levels",2022-10-29
"2022w44",433,507.08,"w","Real-Time",2.70507648165628,-0.3,2022,44,"South African SARS-CoV-2 Wastewater Levels",2022-11-05
"2022w45",473,445.77,"w","Real-Time",2.64911083742178,-0.3,2022,45,"South African SARS-CoV-2 Wastewater Levels",2022-11-12
"2022w46",402,1563.44,"w","Real-Time",3.19408121901745,-0.3,2022,46,"South African SARS-CoV-2 Wastewater Levels",2022-11-19
"2022w47",422,312.34,"w","Real-Time",2.49462760596208,-0.3,2022,47,"South African SARS-CoV-2 Wastewater Levels",2022-11-26
"2022w48",323,88.12,"w","Real-Time",1.94507448847873,-0.3,2022,48,"South African SARS-CoV-2 Wastewater Levels",2022-12-03
"2022w49",345,118.87,"w","Real-Time",2.07507226270612,-0.3,2022,49,"South African SARS-CoV-2 Wastewater Levels",2022-12-10
"2022w50",225,136.72,"w","Real-Time",2.13583204971268,-0.3,2022,50,"South African SARS-CoV-2 Wastewater Levels",2022-12-17
"2022w51",202,40.3,"w","Real-Time",1.60530504614111,-0.3,2022,51,"South African SARS-CoV-2 Wastewater Levels",2022-12-24
"2022w52",913,NA,"w","Real-Time",NA,NA,2022,52,"South African SARS-CoV-2 Wastewater Levels",2022-12-31
"2023w2",0,55.23,"w","dPCR",1.74217504322368,-0.3,2023,2,"South African SARS-CoV-2 Wastewater Levels",2023-01-14
"2023w3",0,8.03,"w","dPCR",0.904715545278681,-0.3,2023,3,"South African SARS-CoV-2 Wastewater Levels",2023-01-21
"2023w4",0,20.6,"w","dPCR",1.31386722036915,-0.3,2023,4,"South African SARS-CoV-2 Wastewater Levels",2023-01-28
"2023w5",0,17,"w","dPCR",1.23044892137827,-0.3,2023,5,"South African SARS-CoV-2 Wastewater Levels",2023-02-04
"2023w6",0,104.8,"w","dPCR",2.02036128264771,-0.3,2023,6,"South African SARS-CoV-2 Wastewater Levels",2023-02-11
"2023w7",0,424.05,"w","dPCR",2.6274170675452,-0.3,2023,7,"South African SARS-CoV-2 Wastewater Levels",2023-02-18
"2023w8",0,112.13,"w","dPCR",2.04972182215243,-0.3,2023,8,"South African SARS-CoV-2 Wastewater Levels",2023-02-25
"2023w9",0,268.63,"w","dPCR",2.42915451208145,-0.3,2023,9,"South African SARS-CoV-2 Wastewater Levels",2023-03-04
"2023w10",0,304.95,"w","dPCR",2.48422863769372,-0.3,2023,10,"South African SARS-CoV-2 Wastewater Levels",2023-03-11
"2023w11",0,282.96,"w","dPCR",2.4517250468067,-0.3,2023,11,"South African SARS-CoV-2 Wastewater Levels",2023-03-18
"2023w12",0,215.89,"w","dPCR",2.3342325263296,-0.3,2023,12,"South African SARS-CoV-2 Wastewater Levels",2023-03-25
"2023w13",0,219.07,"w","dPCR",2.34058290824753,-0.3,2023,13,"South African SARS-CoV-2 Wastewater Levels",2023-04-01
"2023w14",0,41.47,"w","dPCR",1.61773403536402,-0.3,2023,14,"South African SARS-CoV-2 Wastewater Levels",2023-04-08
"2023w15",0,135.27,"w","dPCR",2.13120149002623,-0.3,2023,15,"South African SARS-CoV-2 Wastewater Levels",2023-04-15
"2023w16",0,334.77,"w","dPCR",2.52474653230145,-0.3,2023,16,"South African SARS-CoV-2 Wastewater Levels",2023-04-22
